"weight";"word";"color";"url"
"17";"NLP";"";"https://www.lorem.com"
"16";"ML";"";"https://www.ipsum.com"
"13";"BERT";"";""
"13";"RoBERTa";"";""
"13";"RNN";"";""
"12";"CNN";"";""
"11";"LSTM";"";""
"11";"Word2Vec";"";""
"10";"GloVe";"";""
"10";"embeddings";"";""
"10";"clustering";"";""
"9";"Adam";"";""
"8";"Adagard";"";""
"8";"python";"";""
"8";"tensorflow";"";""
"8";"pytorch";"";""
"8";"tensorflow";"";""
"7";"NLTK";"";""
"7";"spacy";"";"https://www.dolor.com"
"7";"pandas";"";""
"7";"Seq2Seq";"";"https://www.erat.com"
"7";"language";"";""
"7";"syntax";"";""
"7";"tagging";"";""
"7";"POS";"";""
"7";"sentiment";"";""
"7";"noun";"";""
"7";"verb";"";""
"7";"adjective";"";""
"7";"pronoun";"";""
"7";"adverb";"";""
"7";"article";"";""